file,source
data/An-Algebraic-Approach-to-IP-Traceback-Drew-Dean.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/An-Algebraic-Approach-to-IP-Traceback-Drew-Dean.pdf
data/Authenticating-Streamed-Data-in-the-Presence-of-Random-Packet-Loss-Philippe-Golle.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Authenticating-Streamed-Data-in-the-Presence-of-Random-Packet-Loss-Philippe-Golle.pdf
data/Practical-Experiences-with-ATM-Encryption-Gregory-T.-Byrd.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Practical-Experiences-with-ATM-Encryption-Gregory-T.-Byrd.pdf
data/Efficient-and-Secure-Source-Authentication-for-Multicast-Adrian-Perrig.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Efficient-and-Secure-Source-Authentication-for-Multicast-Adrian-Perrig.pdf
data/TRICERT-A-Distributed-Certified-E-Mail-Scheme-Giuseppe-Atenise.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/TRICERT-A-Distributed-Certified-E-Mail-Scheme-Giuseppe-Atenise.pdf
data/An-Architecture-for-Flexible-High-Assurance-Multi-Security-Domain-Networks-Tim-Gibson.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/An-Architecture-for-Flexible-High-Assurance-Multi-Security-Domain-Networks-Tim-Gibson.pdf
data/Authentication-and-Key-Agreement-Via-Memorable-Passwords-Taekyoung-Kwon.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Authentication-and-Key-Agreement-Via-Memorable-Passwords-Taekyoung-Kwon.pdf
data/SPL-An-Access-Control-Language-for-Security-Policies-and-Complex-Constraints-Carlos-Riberio.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/SPL-An-Access-Control-Language-for-Security-Policies-and-Complex-Constraints-Carlos-Riberio.pdf
data/Limiting-the-Disclosure-of-Access-Control-Policies-during-Automated-Trust-Negotiation-Kent-E.-Seamons.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Limiting-the-Disclosure-of-Access-Control-Policies-during-Automated-Trust-Negotiation-Kent-E.-Seamons.pdf
data/Principles-of-Policy-in-Secure-Groups-Hugh-Harney.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Principles-of-Policy-in-Secure-Groups-Hugh-Harney.pdf
data/Trust-Management-for-IPsec-Matt-Blaze.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Trust-Management-for-IPsec-Matt-Blaze.pdf
data/Building-Certifications-Paths-Forward-vs.-Reverse-Yassir-Elley.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Building-Certifications-Paths-Forward-vs.-Reverse-Yassir-Elley.pdf
data/Decentralized-Jini-Security-Pasi-Eronen.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Decentralized-Jini-Security-Pasi-Eronen.pdf
data/Termination-in-Language-based-Systems-Algis-Rudys.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Termination-in-Language-based-Systems-Algis-Rudys.pdf
data/Cryptology-As-a-Network-Service-Tom-Berson.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Cryptology-As-a-Network-Service-Tom-Berson.pdf
data/Implementation-of-Crossrealm-Referral-Handling-in-the-MIT-Kerberos-Client-Jonathan-Trostle.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Implementation-of-Crossrealm-Referral-Handling-in-the-MIT-Kerberos-Client-Jonathan-Trostle.pdf
